Offer Title,Description,Link,Image,Eligible Credit Cards,Eligible Debit Cards
Up To 15% OFF on Travel Bookings!,Exclusive offer* for all Axis Bank Credit Card EMI transactions,https://www.goibibo.com/offers/axis-bank-emi/,https://gos3.ibcdn.com/img-1751609371.jpg,"Axis Bank Ace Credit Card
Airtel Axis Bank RuPay Credit Card 
Airtel Axis Bank Credit Card
Flipkart Axis Bank Credit Card 
Axis Bank Neo Credit Card 
Axis Bank Atlas Credit Card
Flipkart Axis Bank Superelite Credit Card
Axis Bank Rewards Credit Card
IndianOil Axis Bank Credit Card
Fibe Axis Bank Credit Card 
Axis Bank SpiceJet Voyage Black Credit Card
Spicejet Axis Bank Voyage Credit Card
Samsung Axis Bank Infinite Credit Card
Axis Bank Reserve Credit Card
Axis Bank Vistara Infinite Credit Card
Axis Bank Miles And More World Select Credit Card
Axis Bank Miles And More World Credit Card
Samsung Axis Bank Signature Credit Card
Axis Bank Vistara Credit Card
Axis Bank Magnus Credit Card
Axis Bank MY Zone Credit Card
Axis Bank Signature Credit Card
Axis Bank Privilege Credit Card
Axis Bank Privilege Easy Credit Card
Axis Bank Freecharge Plus Credit Card
Axis Bank Select Credit Card
Axis Insta Easy Credit Card
Axis Bank Vistara Signature Credit Card
Axis Bank Pride Signature Credit Card
LIC Axis Bank Signature Credit Card
Axis Bank Platinum Credit Card 
Axis Bank My Wings Credit Card
Axis Bank Aura Credit Card
Axis Bank Titanium Smart Traveller Credit Card
Axis Bank Freecharge Credit Card
Axis Bank Pride Platinum Credit Card
Axis Bank Neo Credit Card
Axis KWIK Credit Card 
LIC Axis Bank Platinum Credit Card
Axis Horizon Mastercard Credit Card
Axis Bank Shoppers Stop Credit Card
Axis Bank Horizon Credit Card",
Get Up To 15% OFF on Travel Bookings!,Central Bank of India Debit Cards,https://www.goibibo.com/offers/central-bank-india/,https://gos3.ibcdn.com/banner-1753445732.jpg,,"Central Bank Rupay Select Wellness Card
Central Bank Rupay Platinum Debit Card
Central Bank Rupay Classic Debit Card
Central Bank Business Card
Central Bank Visa Platinum Card"
Get Up To 15% OFF on Travel Bookings!,HSBC Bank Credit Cards EMI option ,https://www.goibibo.com/offers/hsbc-emi/,https://gos3.ibcdn.com/hsbc-bank-1741849094.jpg,"HSBC Live+ Credit Card
HSBC Visa Platinum Credit Card
HSBC Taj Credit Card
HSBC TravelOne Credit Card
HSBC Premier Mastercard Credit Card", 
Get up to 12% Instant Discount*,On EMI Transaction with IDFC FIRST Bank Credit Cards,https://www.goibibo.com/offers/idfc-ncemi/,https://gos3.ibcdn.com/offer-1727293331.jpg,"IDFC First Power+ Credit Card
IDFC First Power Credit Card 
IDFC First SWYP Credit Card
IDFC Bank First Millennia Credit Card 
IDFC First Classic Credit Card 
IDFC First Select Credit Card
IDFC First Wealth Credit Card
IDFC First Wow Credit Card
IDFC First Earn RuPay Credit Card
IDFC Mayura Credit Card
IDFC First Ashva Credit Card
IDFC First Private Credit Card",
Get Up To 15% Instant Discount!,On Flights and Hotels bookings using Yes Bank Credit Card EMI ,https://www.goibibo.com/offers/yes-bank-emi/,https://gos3.ibcdn.com/top1-1711545023.jpg,"Yes Prosperity Cashback Credit Card
Yes Prosperity Cashback Plus Credit Card
YES Bank Marquee Credit Card
Yes Reserv Credit Card
Yes Bank Wellness Plus Credit Card
Yes Bank Card Anq Phi Credit  Card
Yes Private Prime Credit Card
Yes Prosperity Edge Credit Card
Yes Bank Wellness Credit Card
Yes ELITE + Credit Card
Yes Bank BYOC Credit Card
Yes Prosperity Reward Plus Credit Card
Yes EMI Credit Card 
Yes Prosperity Reward Credit Card
Yes Bank Finbooster Credit Card
Yes Bank Anq Pi Credit Card
YES Bank Paisabazaar Paisasave Credit Card
YES Bank Rio RuPay Credit Card", 
Up To 12% instant discount on flight bookings,Exclusively on IndusInd Bank Debit Cards,https://www.goibibo.com/offers/indusind-flight/,https://gos3.ibcdn.com/offers-indus-1717674401.jpg,,"IndusInd Delights Debit Card
IndusInd Visa Signature Debit Card
IndusInd World Delights Debit Card"
Get Up To 15% Instant Discount!,Avail Interest Free EMI* + up to 15% Instant Discount*,https://www.goibibo.com/offers/federal/,https://gos3.ibcdn.com/offers-1736023007.jpg,"Federal Bank MagniFi Credit Card 
Federal Bank Scapia Credit Card
Federal Bank Mastercard Signet
Federal Bank AmpliFi Credit Card
Federal Bank Rupay Signet Credit Card
Federal Bank Visa Celesta
Federal Bank Visa Imperio
Federal Bank Rupay Wave Credit Card 
Fed Starbiz Rupay Credit Card",
Up to 35% OFF* on travel bookings!,HSBC bank   ,https://www.goibibo.com/offers/no-fomo-just-ghoomo-travel-sale/,https://gos3.ibcdn.com/offer-1757013810.jpg,"HSBC Live+ Credit Card
HSBC Visa Platinum Credit Card
HSBC Taj Credit Card
HSBC TravelOne Credit Card
HSBC Premier Mastercard Credit Card",
